batter,innings,outs,not_outs,batting_average
A Badoni,46,35,11,27.51
A Kamboj,6,2,4,8.0
A Manohar,20,19,1,15.37
A Mhatre,7,7,0,34.29
A Mishra,1,1,0,19.0
A Nortje,10,4,6,10.5
A Raghuvanshi,18,16,2,28.94
A Tomar,1,1,0,4.0
A Zampa,3,3,0,3.33
AA Kulkarni,2,2,0,4.5
AB de Villiers,14,10,4,31.3
AD Russell,53,40,13,28.35
AF Milne,3,2,1,8.0
AJ Finch,5,5,0,17.2
AJ Hosein,1,0,1,16.0
AJ Turner,2,2,0,10.5
AK Markram,55,46,9,31.3
AM Rahane,43,41,2,26.8
AR Patel,52,36,16,27.86
AS Joseph,4,1,3,12.0
AS Roy,7,4,3,6.5
AT Rayudu,36,29,7,23.76
AU Rashid,2,2,0,11.0
Abdul Basith,1,0,1,1.0
Abdul Samad,44,32,12,19.69
Abhishek Sharma,61,58,3,28.84
Abishek Porel,29,26,3,25.42
Akash Deep,5,3,2,8.33
Akash Madhwal,2,0,2,8.0
Aman Hakim Khan,10,9,1,12.78
Aniket Verma,12,9,3,26.22
Anmolpreet Singh,9,9,0,15.44
Anuj Rawat,21,14,7,22.71
Arjun Tendulkar,1,1,0,13.0
Arshad Khan,10,5,5,23.8
Arshad Khan (2),1,1,0,5.0
Arshdeep Singh,12,5,7,6.2
Ashutosh Sharma,18,14,4,28.07
Atharva Taide,10,9,1,28.89
Avesh Khan,12,2,10,29.0
Azmatullah Omarzai,9,8,1,12.38
B Indrajith,3,3,0,7.0
B Kumar,29,12,17,11.42
B Sai Sudharsan,40,35,5,51.23
BA Stokes,3,3,0,5.0
BKG Mendis,1,1,0,20.0
BR Sharath,1,1,0,2.0
C Bosch,2,2,0,23.5
C Green,28,17,11,41.59
C Sakariya,7,5,2,4.0
CA Lynn,1,1,0,49.0
CH Gayle,10,9,1,21.44
CH Morris,7,5,2,13.4
CJ Jordan,6,5,1,9.8
CR Woakes,1,0,1,15.0
CV Varun,8,0,8,16.0
D Brevis,16,16,0,28.44
D Ferreira,3,3,0,3.0
D Padikkal,59,56,3,23.8
D Pretorius,5,4,1,11.0
D Wiese,3,1,2,21.0
DA Miller,56,31,25,39.58
DA Warner,43,36,7,36.47
DG Nalkande,2,2,0,6.0
DJ Bravo,9,3,6,23.33
DJ Hooda,51,45,6,19.36
DJ Malan,1,1,0,26.0
DJ Mitchell,15,13,2,27.0
DJ Willey,5,2,3,26.5
DL Chahar,6,1,5,39.0
DP Conway,28,24,4,45.0
DR Sams,12,8,4,5.5
DS Rathi,1,1,0,1.0
DT Christian,7,4,3,3.5
Dhruv Jurel,35,22,13,30.91
E Lewis,10,8,2,28.0
EJG Morgan,15,11,4,12.09
F du Plessis,70,65,5,38.02
FA Allen,3,2,1,7.0
Fazalhaq Farooqi,3,0,3,5.0
G Coetzee,7,6,1,5.17
GD Phillips,8,7,1,9.29
GHS Garton,2,1,1,2.0
GJ Maxwell,56,48,8,27.38
Gulbadin Naib,1,1,0,19.0
H Klaasen,39,31,8,45.61
HC Brook,11,9,2,21.11
HE van der Dussen,3,2,1,11.0
HH Pandya,66,50,16,28.0
HR Shokeen,5,3,2,22.0
HV Patel,24,15,9,9.47
Harbhajan Singh,2,0,2,4.0
Harpreet Brar,25,12,13,18.67
Harpreet Singh,5,4,1,25.75
Harshit Rana,10,6,4,9.83
I Sharma,3,0,3,2.0
Ishan Kishan,66,61,5,29.3
J Fraser-McGurk,15,14,1,27.5
J Overton,2,0,2,15.0
J Suchith,3,2,1,8.0
J Yadav,2,2,0,17.0
JA Richardson,3,3,0,5.67
JC Archer,9,5,4,13.4
JC Buttler,62,54,8,44.56
JD Unadkat,14,6,8,22.17
JDS Neesham,4,3,1,10.33
JE Root,1,1,0,10.0
JG Bethell,2,2,0,33.5
JJ Bumrah,16,3,13,9.33
JJ Roy,13,13,0,33.46
JM Bairstow,31,28,3,31.57
JM Sharma,47,39,8,25.41
JO Holder,18,14,4,11.07
JP Behrendorff,2,0,2,6.0
JP Inglis,11,9,2,30.89
JR Hazlewood,7,0,7,19.0
K Gowtham,8,5,3,12.2
K Kartikeya,4,3,1,4.0
K Rabada,17,7,10,12.86
K Yadav,1,0,1,0.0
KA Jamieson,9,3,6,21.67
KA Maharaj,1,1,0,1.0
KA Pollard,24,18,6,21.61
KD Karthik,57,34,23,29.97
KH Pandya,57,39,18,19.38
KK Ahmed,4,3,1,0.67
KK Nair,10,9,1,23.78
KL Nagarkoti,1,1,0,0.0
KL Rahul,64,51,13,50.63
KM Asif,1,1,0,0.0
KM Jadhav,6,4,2,16.75
KR Mayers,13,13,0,29.15
KR Sen,1,0,1,0.0
KS Bharat,8,7,1,28.43
KS Rathore,1,1,0,0.0
KS Sharma,3,3,0,5.33
KS Williamson,25,18,7,28.5
KT Maphaka,1,0,1,8.0
KV Sharma,6,4,2,8.75
Kartik Tyagi,4,3,1,3.0
Kuldeep Yadav,27,8,19,18.0
Kumar Kushagra,3,3,0,1.0
L Ngidi,1,0,1,0.0
L Wood,1,0,1,9.0
LB Williams,1,0,1,1.0
LH Ferguson,5,3,2,9.33
LS Livingstone,43,36,7,27.25
Lalit Yadav,21,15,6,20.33
Liton Das,1,1,0,4.0
M Ashwin,6,4,2,6.75
M Jansen,20,11,9,12.82
M Markande,3,0,3,21.0
M Prasidh Krishna,3,1,2,6.0
M Shahrukh Khan,48,31,17,23.61
M Theekshana,6,3,3,5.67
M Tiwari,1,1,0,3.0
M Vohra,6,6,0,11.83
MA Agarwal,42,40,2,26.65
MA Starc,10,4,6,3.75
MA Wood,2,1,1,11.0
MC Henriques,4,2,2,15.5
MD Shanaka,3,2,1,13.0
MG Bracewell,4,2,2,29.0
MJ Owen,1,1,0,0.0
MJ Santner,17,7,10,11.14
MJ Suthar,1,1,0,1.0
MK Lomror,29,24,5,18.33
MK Pandey,27,24,3,28.08
MM Ali,42,38,4,22.58
MM Sharma,5,3,2,1.0
MP Breetzke,1,1,0,14.0
MP Stoinis,57,42,15,28.6
MR Marsh,34,32,2,33.34
MS Bhandage,1,1,0,1.0
MS Dhoni,59,29,30,27.83
MS Wade,11,10,1,16.1
MW Short,6,6,0,19.5
Mandeep Singh,7,7,0,6.71
Mayank Dagar,1,0,1,0.0
Mohammad Nabi,8,7,1,9.86
Mohammed Shami,9,4,5,7.0
Mohammed Siraj,12,5,7,13.2
Mohit Rathee,1,0,1,1.0
Mohsin Khan,5,2,3,12.5
Mujeeb Ur Rahman,1,0,1,1.0
Mukesh Choudhary,2,0,2,6.0
Mukesh Kumar,5,1,4,10.0
Musheer Khan,1,1,0,0.0
Mustafizur Rahman,6,1,5,12.0
N Jagadeesan,8,7,1,18.43
N Pooran,66,48,18,36.92
N Rana,57,51,6,27.76
N Wadhera,31,26,5,27.65
NM Coulter-Nile,3,2,1,2.5
NT Ellis,5,4,1,4.75
Naman Dhir,19,14,5,28.0
Navdeep Saini,2,2,0,2.0
Naveen-ul-Haq,4,1,3,18.0
Nithish Kumar Reddy,22,17,5,28.53
Noor Ahmad,11,8,3,2.5
OC McCoy,1,0,1,8.0
OF Smith,6,3,3,17.0
P Dubey,1,1,0,16.0
P Simran Singh,49,47,2,28.17
PBB Rajapaksa,13,12,1,23.08
PD Salt,34,31,3,34.06
PHKD Mendis,5,4,1,23.0
PJ Cummins,29,16,13,24.31
PJ Sangwan,1,1,0,2.0
PK Garg,9,9,0,15.56
PN Mankad,5,3,2,32.33
PP Chawla,11,7,4,5.71
PP Shaw,41,40,1,26.65
PVD Chameera,10,3,7,17.67
PVSN Raju,1,0,1,1.0
PWA Mulder,1,1,0,9.0
PWH de Silva,19,15,4,5.4
Prince Yadav,2,0,2,5.0
Priyansh Arya,18,18,0,30.28
Q de Kock,49,46,3,29.35
R Ashwin,38,25,13,16.84
R Dhawan,6,3,3,19.0
R Minz,2,2,0,3.0
R Parag,60,48,12,27.58
R Powell,23,20,3,18.25
R Ravindra,18,16,2,25.81
R Sai Kishore,4,3,1,6.0
R Sanjay Yadav,1,1,0,0.0
R Shepherd,12,7,5,26.43
R Tewatia,53,34,19,21.94
RA Bawa,3,2,1,9.5
RA Jadeja,58,32,26,34.41
RA Tripathi,54,48,6,27.15
RD Chahar,16,13,3,8.62
RD Gaikwad,64,57,7,40.32
RD Rickelton,14,13,1,29.85
RG Sharma,72,69,3,26.32
RJ Gleeson,1,0,1,2.0
RJW Topley,1,0,1,3.0
RK Bhui,2,2,0,1.5
RK Singh,43,29,14,35.24
RM Patidar,38,35,3,31.74
RP Meredith,2,0,2,0.0
RR Pant,56,45,11,32.87
RR Rossouw,17,15,2,28.0
RV Patel,7,4,3,20.0
RV Uthappa,15,15,0,23.0
Rahmanullah Gurbaz,18,17,1,21.35
Ramandeep Singh,20,11,9,19.73
Rashid Khan,43,26,17,17.15
Rasikh Salam,5,5,0,7.0
Ravi Bishnoi,14,8,6,4.75
S Dhawan,47,41,6,38.34
S Dube,62,50,12,33.8
S Gopal,3,1,2,16.0
S Kaul,2,0,2,8.0
S Nadeem,1,1,0,0.0
SA Abbott,1,1,0,7.0
SA Yadav,65,56,9,40.84
SB Dubey,11,6,5,23.17
SD Hope,9,7,2,26.14
SE Rutherford,13,11,2,29.45
SH Johnson,5,0,5,8.0
SK Raina,11,7,4,22.86
SK Rasheed,5,5,0,14.2
SM Curran,34,28,6,25.57
SN Khan,11,9,2,16.0
SN Thakur,31,21,10,13.19
SO Hetmyer,63,37,26,32.78
SP Jackson,5,4,1,5.75
SP Narine,55,46,9,19.3
SPD Smith,7,6,1,25.33
SS Iyer,53,39,14,39.26
SS Prabhudessai,10,9,1,14.0
SS Tiwary,4,2,2,57.5
SV Samson,69,59,10,35.93
SW Billings,8,7,1,24.14
SZ Mulani,1,0,1,1.0
Sachin Baby,1,1,0,7.0
Sameer Rizvi,9,7,2,24.57
Sandeep Sharma,5,0,5,16.0
Sanvir Singh,5,2,3,12.5
Saurav Chauhan,3,3,0,6.0
Sediqullah Atal,1,1,0,22.0
Shahbaz Ahmed,37,28,9,19.43
Shakib Al Hasan,6,5,1,9.4
Shashank Singh,33,18,15,42.94
Shivam Mavi,5,4,1,7.0
Shivam Singh,1,0,1,2.0
Shubman Gill,77,69,8,42.42
Sikandar Raza,9,7,2,26.0
Simarjeet Singh,6,3,3,3.33
Sumit Kumar,3,2,1,9.0
Suryansh Shedge,3,3,0,2.33
Swapnil Singh,6,2,4,19.5
T Kohler-Cadmore,3,3,0,16.0
T Shamsi,1,0,1,2.0
T Stubbs,31,15,16,47.4
TA Boult,19,5,14,14.6
TG Southee,6,5,1,1.0
TH David,44,25,19,33.84
TK Curran,2,1,1,21.0
TL Seifert,3,3,0,8.67
TM Head,27,26,1,36.19
TS Mills,2,1,1,0.0
TU Deshpande,6,1,5,7.0
Tanush Kotian,1,1,0,24.0
Tilak Varma,51,38,13,39.45
UT Yadav,14,7,7,12.29
Umran Malik,5,1,4,23.0
Urvil Patel,3,3,0,22.67
V Kohli,75,64,11,43.48
V Nigam,8,5,3,28.4
V Shankar,31,25,6,23.16
V Suryavanshi,7,7,0,36.0
V Viyaskanth,1,0,1,7.0
VG Arora,9,4,5,2.25
VR Iyer,56,49,7,29.96
Vijaykumar Vyshak,4,2,2,7.0
Virat Singh,2,2,0,7.5
Vishnu Vinod,3,3,0,12.33
Vivrant Sharma,1,1,0,69.0
WD Parnell,1,1,0,2.0
WG Jacks,19,16,3,28.94
WP Saha,46,43,3,22.21
Washington Sundar,22,20,2,16.25
XC Bartlett,1,1,0,11.0
YBK Jaiswal,63,59,4,36.03
YS Chahal,3,1,2,15.0
YV Dhull,3,3,0,5.33
Yash Dayal,4,3,1,1.33
Yudhvir Singh,4,4,0,5.5
